raw_id,text,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,schema_version,model,reviewer_label,reviewer_reasoning,final_label,reviewed_by,reviewed_at
nairaland-a09b4d211ac1,"The more I see APC votes, the more I realize many people don’t actually need help. They are born to suffer.",not_about_candidate,0.34,0.03,strong,unclear,1.0,0.34,english,0.98,v3,jev-1.13.0,,,,,
nairaland-368c9dc0e4ac,See more results from Ede north as they keep coming,not_about_candidate,0.58,0.04,calm,unclear,0.74,0.33,english,0.96,v3,jev-1.13.0,,,,,
nairaland-814e326dfb8c,"wasiubello : The results coming from Ede North seems suspicious oooo Wasiu, it is 'suspicious' because your terrorist ja-weed party is losing.",not_about_candidate,0.58,0.02,strong,unclear,0.99,0.61,english,0.31,v3,jev-1.13.0,,,,,
nairaland-205767464565,"ogolemati : because agbero union party is loosing or what.who are those voting for that party of thugs self It is not rigging but when it favors the other person, it is rigging. Nigeria politicians are fraud",not_about_candidate,0.44,0.02,strong,unclear,0.97,0.34,english,0.49,v3,jev-1.13.0,,,,,
nairaland-d199b0007c5a,"seunowa : It is not rigging but when it favors the other person, it is rigging. Nigeria politicians are fraud who are the people voting for All Past Criminals party is what I asked",negative,0.52,0.25,strong,unclear,1.0,0.41,english,0.48,v3,jev-1.13.0,,,,,
nairaland-202f4ee9e29e,Apc is coming back with full force 💪 🙌 and nobody should shout rigging,positive,0.76,0.12,strong,unclear,1.0,0.95,english,0.9,v3,jev-1.13.0,,,,,
nairaland-772ccee175e6,ogolemati : who are the people voting for All Past Criminals party is what I asked There are no saints among Nigeria politicians. Today's election is a testament to that fact....,not_about_candidate,0.68,0.07,strong,unclear,1.0,0.2,english,0.62,v3,jev-1.13.0,,,,,
nairaland-4fa5b8f95373,"See more results from Gidigbo 1, APC is doing great",positive,0.37,0.03,mild,unclear,0.53,0.93,english,0.89,v3,jev-1.13.0,,,,,
nairaland-9d812a2351ed,The result might be declared inconclusive as it seem Accord is winning. Just modus operandi of APC,not_about_candidate,0.5,0.03,moderate,unclear,1.0,0.67,english,0.91,v3,jev-1.13.0,,,,,
nairaland-c5b405e2a343,🤣😂🤣😂 These are the realities! Not the online noise and forgery! APC is trashing them all round!,not_about_candidate,0.26,0.03,strong,unclear,1.0,0.93,english,0.93,v3,jev-1.13.0,,,,,
nairaland-b6d414b69409,Common ADC ^**** 😃 😀 😄 😁 🤣 😂 *** AMINDA  the son of Alhaji  Muniru ADAMAWA,not_about_candidate,0.66,0.03,mild,unclear,0.92,0.24,english,0.81,v3,jev-1.13.0,,,,,
nairaland-81fec5a643a0,Ambo wins 🙏🏻🙏🏻🙏🏻,positive,0.6,0.03,strong,unclear,0.89,0.26,english,0.78,v3,jev-1.13.0,,,,,
nairaland-83e408ee2639,More results from polling units across the state,not_about_candidate,0.48,0.07,calm,unclear,1.0,0.25,english,1.0,v3,jev-1.13.0,,,,,
nairaland-b15bba52ee09,"Lmao, una dey in the past on this thread. I saw someone scream ambo go win. 🤣🤣🤣 As seen on Twitter.",negative,0.71,0.07,mild,unclear,0.95,0.28,mixed,0.58,v3,jev-1.13.0,,,,,
nairaland-866b46cae663,"Truths9ja : Ambo wins 🙏🏻🙏🏻🙏🏻 Oga shut up, stop peddling fake results",negative,0.23,0.05,strong,unclear,0.85,0.3,mixed,0.64,v3,jev-1.13.0,,,,,
nairaland-57134b5f533c,Calm down as Adeleke keep coasting to victory,not_about_candidate,0.65,0.04,mild,unclear,0.97,0.35,english,0.92,v3,jev-1.13.0,,,,,
nairaland-34830d731cef,How can a matured human being bath and leave their house to go and vote for APC.. a terrorist organization.. I still find those APC figures hard to believe..,not_about_candidate,0.36,0.02,strong,unclear,1.0,0.45,english,0.94,v3,jev-1.13.0,,,,,
nairaland-d3cd2228b9b8,"Linzo : Calm down as Adeleke keep coasting to victory It's not even close, all APC data boys don mute on Twitter 🤣🤣🤣",not_about_candidate,0.42,0.03,strong,unclear,0.99,0.69,english,0.42,v3,jev-1.13.0,,,,,
nairaland-4856af79ab3c,Kdon2 : The dancer is clearly winning this election. Shame on all osun people Same people of Osun that voted for him?,not_about_candidate,0.76,0.03,strong,unclear,1.0,0.41,english,0.81,v3,jev-1.13.0,,,,,
