raw_id,sentiment_label,sentiment_confidence,mentions_candidate_probability,intensity_score,lga_relevance_label,lga_confidence,opposition_signal_probability,language_label,language_confidence,routing_decision,schema_version,model
gdelt-f31ad55deedc,not_about_candidate,0.8,0.31,calm,unclear,0.99,0.34,english,1.0,auto,v3,jev-1.13.0
gdelt-081c4f4413d8,negative,0.82,0.99,moderate,unclear,0.82,0.17,english,1.0,auto,v3,jev-1.13.0
gdelt-4b3fbec050d4,neutral,0.66,0.98,mild,unclear,0.87,0.14,english,1.0,human_review,v3,jev-1.13.0
gdelt-665621609e98,not_about_candidate,0.95,0.08,calm,unclear,0.74,0.15,english,1.0,human_review,v3,jev-1.13.0
gdelt-554ce9162bb4,not_about_candidate,0.74,0.07,calm,Bauchi,0.52,0.25,english,0.69,human_review,v3,jev-1.13.0
gdelt-cbac1bedd07b,neutral,0.9,0.99,moderate,Bauchi,0.49,0.13,english,1.0,human_review,v3,jev-1.13.0
gdelt-fb1a46a9d408,neutral,0.61,0.89,mild,Giade,0.98,0.29,english,1.0,human_review,v3,jev-1.13.0
gdelt-e8ee027e0199,negative,0.7,0.74,calm,Bauchi,0.71,0.59,english,1.0,human_review,v3,jev-1.13.0
gdelt-036e4158acb0,negative,0.81,0.79,mild,Bauchi,0.78,0.68,english,1.0,human_review,v3,jev-1.13.0
gdelt-1ab8a1fa7ecc,neutral,0.94,0.87,calm,Bauchi,0.92,0.05,english,1.0,auto,v3,jev-1.13.0
gdelt-97ff05f7a285,neutral,0.97,0.89,mild,Shira,0.62,0.63,english,1.0,human_review,v3,jev-1.13.0
gdelt-673e7fa5409a,negative,0.54,0.8,moderate,Bauchi,0.76,0.69,english,1.0,human_review,v3,jev-1.13.0
gdelt-a350ad4a9e19,neutral,0.32,0.79,calm,unclear,0.96,0.15,english,1.0,human_review,v3,jev-1.13.0
gdelt-49b2d2fff9e7,neutral,0.7,0.92,calm,unclear,0.77,0.47,english,0.94,human_review,v3,jev-1.13.0
gdelt-c693d62af217,neutral,0.82,0.81,calm,Bauchi,0.58,0.05,english,1.0,human_review,v3,jev-1.13.0
gdelt-5ea90a01dc95,neutral,0.83,0.87,calm,Bauchi,0.67,0.07,english,1.0,human_review,v3,jev-1.13.0
gdelt-ba075c22049e,positive,0.81,0.93,moderate,unclear,0.92,0.05,english,1.0,auto,v3,jev-1.13.0
gdelt-47fda051326d,negative,0.91,0.8,moderate,unclear,0.61,0.79,english,1.0,human_review,v3,jev-1.13.0
gdelt-9ea888b56299,neutral,0.39,0.93,mild,Shira,1.0,0.06,english,1.0,human_review,v3,jev-1.13.0
gdelt-ed2905ec6569,neutral,0.96,0.94,calm,Zaki,1.0,0.16,english,1.0,auto,v3,jev-1.13.0
gdelt-9818db967e95,positive,0.31,0.97,mild,unclear,0.53,0.1,english,1.0,human_review,v3,jev-1.13.0
gdelt-247737e9da4c,positive,0.75,0.91,strong,Alkaleri,0.98,0.06,english,1.0,human_review,v3,jev-1.13.0
gdelt-93e03d5b3653,neutral,0.42,0.88,mild,Katagum,0.97,0.88,english,1.0,human_review,v3,jev-1.13.0
gdelt-10a77e5f8129,positive,0.74,0.93,strong,unclear,0.6,0.06,english,1.0,human_review,v3,jev-1.13.0
gdelt-0f5600e83a66,neutral,0.66,0.88,calm,unclear,0.67,0.07,english,1.0,human_review,v3,jev-1.13.0
gdelt-3a288a46cc83,positive,0.45,0.96,calm,unclear,0.99,0.43,english,0.95,human_review,v3,jev-1.13.0
gdelt-795092e284ae,neutral,0.65,0.9,mild,Bauchi,0.74,0.21,english,0.9,human_review,v3,jev-1.13.0
gdelt-737d0331b56c,not_about_candidate,1.0,0.02,strong,Ganjuwa,0.47,0.05,english,0.96,human_review,v3,jev-1.13.0
gdelt-b9bf8f727d51,neutral,0.92,0.95,calm,unclear,0.99,0.19,english,1.0,auto,v3,jev-1.13.0
gdelt-403d0bb72c0f,not_about_candidate,0.77,0.06,calm,unclear,0.96,0.53,english,0.94,human_review,v3,jev-1.13.0
gdelt-12bbf560f3fc,neutral,0.97,0.93,mild,unclear,0.64,0.67,english,1.0,human_review,v3,jev-1.13.0
gdelt-33e07e5013b1,not_about_candidate,0.43,0.91,strong,unclear,0.99,0.03,english,1.0,human_review,v3,jev-1.13.0
gdelt-78636c1bb898,positive,0.85,0.94,mild,Alkaleri,1.0,0.11,english,1.0,auto,v3,jev-1.13.0
gdelt-6b51ab417794,not_about_candidate,1.0,0.02,moderate,Alkaleri,0.4,0.17,english,1.0,human_review,v3,jev-1.13.0
gdelt-5db6a339e3e2,neutral,0.55,0.88,calm,unclear,0.76,0.67,english,1.0,human_review,v3,jev-1.13.0
gdelt-acb680e658e7,negative,0.44,0.07,strong,unclear,0.82,0.65,english,0.99,human_review,v3,jev-1.13.0
gdelt-f8c66bc8b9e6,positive,0.95,0.93,moderate,Bauchi,0.55,0.11,english,1.0,human_review,v3,jev-1.13.0
gdelt-c33ac5d2c641,neutral,0.81,0.94,calm,Bauchi,0.87,0.07,english,1.0,auto,v3,jev-1.13.0
